Shape,Result,Number,Time
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,187,11.194601774215698
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1884,11.196109533309937
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,396,11.19483232498169
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1061,11.195379495620728
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1609,11.195875406265259
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1154,11.195453643798828
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1056,11.195375680923462
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1865,11.196093797683716
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2077,11.19626522064209
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,856,11.195218324661255
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,510,11.194930791854858
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,737,11.19512391090393
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1166,11.195463418960571
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1286,11.195585250854492
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,216,11.19462513923645
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,251,11.194694757461548
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1961,11.196171045303345
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,400,11.194835662841797
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,815,11.195185661315918
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1330,11.195619821548462
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1805,11.196044683456421
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1285,11.195584297180176
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1396,11.195672273635864
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,511,11.194931983947754
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2220,11.196379899978638
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2150,11.19632339477539
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1116,11.195423126220703
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1375,11.195655822753906
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1631,11.195892572402954
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,765,11.195146322250366
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2046,11.196240425109863
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1587,11.195857286453247
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,545,11.194971084594727
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1157,11.19545578956604
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,626,11.1950364112854
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1336,11.195624828338623
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1433,11.195701599121094
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1614,11.195879220962524
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1088,11.19540023803711
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1960,11.196170330047607
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,846,11.195210456848145
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1378,11.195658445358276
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1601,11.195868730545044
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,490,11.194906234741211
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,990,11.195323944091797
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1388,11.195666074752808
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1929,11.196145296096802
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1824,11.19606065750122
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1393,11.195669889450073
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,633,11.19504189491272
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,131,11.194557428359985
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2126,11.196304321289062
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,256,11.194699048995972
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1675,11.195937871932983
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2067,11.1962571144104
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1298,11.195594549179077
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,586,11.195004224777222
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,299,11.19473648071289
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1039,11.195362567901611
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,961,11.195301294326782
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2144,11.196318864822388
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1939,11.196153402328491
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2158,11.196330070495605
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,568,11.194989442825317
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,129,11.194555759429932
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,981,11.195316791534424
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1610,11.195876359939575
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1457,11.195720911026001
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,255,11.194698333740234
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1807,11.196046590805054
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1152,11.195451974868774
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,407,11.194840908050537
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,707,11.1951003074646
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,111,11.194541454315186
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,16,11.194459199905396
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,237,11.194682359695435
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2092,11.196276903152466
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1486,11.195777893066406
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1346,11.195632457733154
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,95,11.194528818130493
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,326,11.194776773452759
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1353,11.195637941360474
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2061,11.196252584457397
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,275,11.194715738296509
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,42,11.194482564926147
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,333,11.194782257080078
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2123,11.196301698684692
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1141,11.195443391799927
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1926,11.19614291191101
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,46,11.194485664367676
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1728,11.195981979370117
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1216,11.19550347328186
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1002,11.195333480834961
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,79,11.19451642036438
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,652,11.195056676864624
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2020,11.196219444274902
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1999,11.196201801300049
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,828,11.195196151733398
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1023,11.195349931716919
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,681,11.195079565048218
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1418,11.195689678192139
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1135,11.195438385009766
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1523,11.195807456970215
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,533,11.19495153427124
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,831,11.19519829750061
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,651,11.195055723190308
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1657,11.195913076400757
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,863,11.195224046707153
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1692,11.19595193862915
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,960,11.195300579071045
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,452,11.194876432418823
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1568,11.195842742919922
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1724,11.19597864151001
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1727,11.19598126411438
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1755,11.196003675460815
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1693,11.195952892303467
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1357,11.195641279220581
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,740,11.1951265335083
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1481,11.19577407836914
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,309,11.194762945175171
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1653,11.195909976959229
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1020,11.195347547531128
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1210,11.195498704910278
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,546,11.194971799850464
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1351,11.19563627243042
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1629,11.19589114189148
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,892,11.195246458053589
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1638,11.195898294448853
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,920,11.195269107818604
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,628,11.195037841796875
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1075,11.195390462875366
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1274,11.195575714111328
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,419,11.194850206375122
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,631,11.195040464401245
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,968,11.195306539535522
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,720,11.19511079788208
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1195,11.195486068725586
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,840,11.195205450057983
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1685,11.195946455001831
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1079,11.195393085479736
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,916,11.195265769958496
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1678,11.195940494537354
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,601,11.195016145706177
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,619,11.195030689239502
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1446,11.195712089538574
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,954,11.195295810699463
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1159,11.195457696914673
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,233,11.194678544998169
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,648,11.195053577423096
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1790,11.196032524108887
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1840,11.196073293685913
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1384,11.19566297531128
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,635,11.195043563842773
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,477,11.19489574432373
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,847,11.195211172103882
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,211,11.194621086120605
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1008,11.195338487625122
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1309,11.195603132247925
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2023,11.196222066879272
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,423,11.19485354423523
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,555,11.194978713989258
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,859,11.195220947265625
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,974,11.195311546325684
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1171,11.195467233657837
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1818,11.196055889129639
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1429,11.195698261260986
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1409,11.195682764053345
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2063,11.196254014968872
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1032,11.195357084274292
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,244,11.194688081741333
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1186,11.195478916168213
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2192,11.196357727050781
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,97,11.194530487060547
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,500,11.1949143409729
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2199,11.1963632106781
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,519,11.194939851760864
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,205,11.194616317749023
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1015,11.195343732833862
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2086,11.196272373199463
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,467,11.1948881149292
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,662,11.195064544677734
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1187,11.19547963142395
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,121,11.194549322128296
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,760,11.195142269134521
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,465,11.194886207580566
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1326,11.195616722106934
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1258,11.195562601089478
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,74,11.194508075714111
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1748,11.195998191833496
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1138,11.195440769195557
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2072,11.196261167526245
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1323,11.195614099502563
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,295,11.194732904434204
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1010,11.195339918136597
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2082,11.196269273757935
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,554,11.19497799873352
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,350,11.194795846939087
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,827,11.195195198059082
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,895,11.195249080657959
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,106,11.194537878036499
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,7,11.194451570510864
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1977,11.196184158325195
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2011,11.196211576461792
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,11,11.19445514678955
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,308,11.194761991500854
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1412,11.195684671401978
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2057,11.19624924659729
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2131,11.196308135986328
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2025,11.196223497390747
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,540,11.194967031478882
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,371,11.194812536239624
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1122,11.195427894592285
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,78,11.194515705108643
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,45,11.194484949111938
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,353,11.194798231124878
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1611,11.195877075195312
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,561,11.19498348236084
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,332,11.194781303405762
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1907,11.196127653121948
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1652,11.195909261703491
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1762,11.196009397506714
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1051,11.195371866226196
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,858,11.195220232009888
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2205,11.196367740631104
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,623,11.19503378868103
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,772,11.195151805877686
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1814,11.196052074432373
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2013,11.196213483810425
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2108,11.196289777755737
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,35,11.194477319717407
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1392,11.195669174194336
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1708,11.19596529006958
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2030,11.196227550506592
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1969,11.196177959442139
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1414,11.19568657875061
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,64,11.194499731063843
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1628,11.195890426635742
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1897,11.196119546890259
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,436,11.19486379623413
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1566,11.195840835571289
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1660,11.195915460586548
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1123,11.195428848266602
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1925,11.196141958236694
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1991,11.196195602416992
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1900,11.19612193107605
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,444,11.194870233535767
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1543,11.195822954177856
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,643,11.19505000114441
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1360,11.195643663406372
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1661,11.195916175842285
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1775,11.196020126342773
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1067,11.19538426399231
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,37,11.194478511810303
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,912,11.195262432098389
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1119,11.195425510406494
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1170,11.19546627998352
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,888,11.19524335861206
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1858,11.196088552474976
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,54,11.194491863250732
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1813,11.196051120758057
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2019,11.196218729019165
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2014,11.196214199066162
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1009,11.19533920288086
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1134,11.19543743133545
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1834,11.19606876373291
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1120,11.195426225662231
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1436,11.195703983306885
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2178,11.196346998214722
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1651,11.195908546447754
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,976,11.195312976837158
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2111,11.19629192352295
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,719,11.195110082626343
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,19,11.194463014602661
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,695,11.195090770721436
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1765,11.196012020111084
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,370,11.194811820983887
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1461,11.195757389068604
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1359,11.195642709732056
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1282,11.195581912994385
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,226,11.194633960723877
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,137,11.194562196731567
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,90,11.194525003433228
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,999,11.19533085823059
